hour_of_year,insolation,temperature,wind,rainfall
923,223,20.067,,
924,26,15.368,,
925,0,12.875,,
926,0,12.023,,
927,0,11.239,,
928,0,10.416,,
929,0,9.522,,
930,0,8.654,,
931,0,7.893,,
932,0,7.231,,
933,0,6.666,,
934,0,6.199,,
935,0,5.811,,
936,0,5.545,,
937,6,5.597,,
938,244,9.271,,
939,531,13.677,,
940,766,17.797,,
941,936,20.038,,
942,1031,21.754,,
943,1040,22.993,,
944,966,23.662,,
945,805,23.748,,
946,579,23.216,,
947,295,21.869,,
948,47,16.956,,
949,0,14.157,,
950,0,12.723,,
951,0,11.594,,
952,0,10.7,,
953,0,9.945,,
954,0,9.318,,
955,0,8.802,,
956,0,8.451,,
957,0,8.072,,
958,0,7.697,,
959,0,7.522,,
960,0,7.424,,
961,7,7.253,,
962,250,10.904,,
963,494,15.843,,
964,716,20.347,,
965,897,22.955,,
966,925,24.502,,
967,824,25.469,,
968,840,26.241,,
969,756,26.436,,
970,557,25.892,,
971,281,24.483,,
972,44,20.454,,
973,0,17.991,,
974,0,16.121,,
975,0,14.59,,
976,0,13.295,,
977,0,12.33,,
978,0,12.464,,
979,0,12.46,,
980,0,12.283,,
981,0,12.173,,
982,0,11.759,,
983,0,10.798,,
984,0,10.155,,
985,4,10.541,,
986,133,13.791,,
987,436,17.541,,
988,653,22.343,,
989,814,25.283,,
990,932,26.968,,
991,795,27.857,,
992,652,28.25,,
993,666,28.488,,
994,522,28.075,,
995,256,26.712,,
996,36,22.997,,
997,0,20.471,,
998,0,18.817,,
999,0,17.184,,
1000,0,15.875,,
1001,0,14.99,,
1002,0,14.411,,
1003,0,13.801,,
1004,0,13.216,,
1005,0,12.722,,
1006,0,12.493,,
1007,0,12.286,,
1008,0,12.015,,
1009,5,11.85,,
1010,204,14.771,,
1011,466,18.607,,
1012,694,24.088,,
1013,860,27.95,,
1014,947,29.819,,
1015,958,30.974,,
1016,885,31.56,,
1017,735,31.62,,
1018,517,31.072,,
1019,248,29.465,,
1020,35,24.414,,
1021,0,22.658,,
1022,0,22.342,,
1023,0,21.959,,
1024,0,21.467,,
1025,0,20.858,,
1026,0,20.28,,
1027,0,19.755,,
1028,0,18.898,,
1029,0,17.733,,
1030,0,16.87,,
1031,0,16.405,,
1032,0,16.062,,
1033,3,15.902,,
1034,84,18.889,,
1035,306,22.342,,
1036,581,27.033,,
1037,760,30.664,,
1038,872,32.006,,
1039,892,32.688,,
1040,809,32.811,,
1041,644,32.431,,
1042,437,31.614,,
1043,185,30.16,,
1044,22,25.581,,
1045,0,22.669,,
1046,0,21.812,,
1047,0,21.319,,
1048,0,20.662,,
1049,0,19.74,,
1050,0,18.639,,
1051,0,17.703,,
1052,0,16.86,,
1053,0,15.98,,
1054,0,15.069,,
1055,0,14.213,,
1056,0,13.506,,
1057,4,13.174,,
1058,173,16.022,,
1059,437,19.272,,
1060,670,23.874,,
1061,838,26.443,,
1062,934,27.85,,
1063,940,28.725,,
1064,858,29.068,,
1065,690,28.821,,
1066,463,28.018,,
1067,198,26.572,,
1068,23,22.498,,
1069,0,19.66,,
1070,0,18.629,,
1071,0,17.681,,
1072,0,16.776,,
1073,0,15.897,,
1074,0,15.078,,
1075,0,14.371,,
1076,0,13.794,,
1077,0,13.295,,
1078,0,12.828,,
1079,0,12.405,,
1080,0,12.081,,
1081,4,12.014,,
1082,150,15.513,,
1083,411,19.42,,
1084,652,23.574,,
1085,829,25.391,,
1086,912,26.655,,
1087,926,27.516,,
1088,857,27.918,,
1089,701,27.751,,
1090,483,27.003,,
1091,221,25.603,,
1092,29,21.4,,
1093,0,18.396,,
1094,0,17.306,,
1095,0,16.304,,
1096,0,15.365,,
1097,0,14.506,,
1098,0,13.681,,
1099,0,12.922,,
1100,0,12.293,,
1101,0,11.702,,
1102,0,11.246,,
1103,0,10.852,,
1104,0,10.476,,
1105,8,10.411,,
1106,226,13.744,,
1107,497,17.615,,
1108,731,21.96,,
1109,902,24.024,,
1110,1008,25.577,,
1111,1019,26.706,,
1112,947,27.375,,
1113,794,27.41,,
1114,575,26.83,,
1115,301,25.498,,
1116,54,20.894,,
1117,0,17.571,,
1118,0,16.456,,
1119,0,15.483,,
1120,0,14.6,,
1121,0,13.76,,
1122,0,12.986,,
1123,0,12.456,,
1124,0,11.749,,
1125,0,11.193,,
1126,0,10.828,,
1127,0,10.519,,
1128,0,10.281,,
1129,10,10.297,,
1130,245,14.51,,
1131,506,18.777,,
1132,729,23.438,,
1133,891,26.068,,
1134,985,27.827,,
1135,993,29.1,,
1136,913,29.87,,
1137,750,29.887,,
1138,527,29.184,,
1139,262,27.826,,
1140,40,23.449,,
1141,0,20.673,,
1142,0,19.944,,
1143,0,19.845,,
1144,0,19.994,,
1145,0,19.658,,
1146,0,19.081,,
1147,0,18.222,,
1148,0,16.943,,
1149,0,15.576,,
1150,0,14.363,,
1151,0,13.53,,
1152,0,13.125,,
1153,3,13.068,,
1154,90,15.8,,
1155,137,18.117,,
1156,265,21.073,,
1157,331,23.952,,
1158,321,25.759,,
1159,420,27.527,,
1160,602,29.468,,
1161,495,30.063,,
1162,261,29.436,,
1163,113,28.177,,
1164,20,24.631,,
1165,0,21.467,,
1166,0,20.738,,
1167,0,20.71,,
1168,0,20.324,,
1169,0,19.369,,
1170,0,18.524,,
1171,0,17.738,,
1172,0,17.158,,
1173,0,16.977,,
1174,0,16.435,,
1175,0,15.366,,
1176,0,14.775,,
1177,4,14.661,,
1178,88,17.672,,
1179,200,20.56,,
1180,336,23.104,,
1181,493,25.383,,
1182,600,27.211,,
1183,590,28.412,,
1184,601,29.232,,
1185,522,29.566,,
1186,251,29.022,,
1187,66,27.915,,
1188,6,25.288,,
1189,0,23.403,,
1190,0,23.319,,
1191,0,22.626,,
1192,0,21.587,,
1193,0,20.958,,
1194,0,20.803,,
1195,0,20.415,,
1196,0,19.731,,
1197,0,19.202,,
1198,0,18.761,,
1199,0,18.353,,
1200,0,17.95,,
1201,4,17.711,,
1202,142,21.225,,
1203,383,25.083,,
1204,579,28.68,,
1205,724,30.69,,
1206,841,32.287,,
1207,841,33.366,,
1208,676,33.704,,
1209,399,33.392,,
1210,129,32.534,,
1211,24,31.232,,
1212,3,28.021,,
1213,0,25.591,,
1214,0,24.649,,
1215,0,24.188,,
1216,0,23.622,,
1217,0,22.577,,
1218,0,21.37,,
1219,0,20.419,,
