hour_of_year,insolation,temperature,rainfall,wind_speed,wind_direction,humidity
5112,0,26,22632,0,138,94
5113,0,26,22633,0,307,94
5114,0,26,22634,0,200,94
5115,0,26,22635,0,23,94
5116,0,27,22636,1,110,89
5117,0,28,22637,2,20,84
5118,86,29,22638,2,350,79
5119,280,30,22639,3,319,75
5120,446,31,22640,4,268,70
5121,87,32,22641,5,180,67
5122,490,31.5,22642,10,251,68
5123,560,30.9,22643,29,215,70
5124,551,30.4,22644,49,4,71
5125,536,29.9,22645,41,151,73
5126,390,29.3,22646,34,257,75
5127,326,28.8,22647,27,298,76
5128,172,28.3,22648,20,316,78
5129,8,27.7,22649,12,265,80
5130,0,27.2,22650,5,224,82
5131,0,27,22651,5,264,84
5132,0,26.8,22652,5,20,86
5133,0,26.6,22653,5,273,88
5134,0,26.4,22654,5,201,90
5135,0,26.2,22655,5,27,92
5136,0,26,22656,5,80,94
5137,0,26.7,22657,10,81,91
5138,0,27.3,22658,16,208,87
5139,0,28,22659,21,180,84
5140,0,29,22660,15,349,79
5141,0,30,22661,8,234,75
5142,0,31,22662,2,243,70
5143,310,30.8,22663,0,282,71
5144,450,30.7,22664,0,164,72
5145,494,30.5,22665,0,157,73
5146,525,30.3,22666,0,98,73
