sl,model,panel_manufacturer,rating,tech_type,Voc,Isc,Vmp,Imp,NOCT,T_Pmax,T_Voc,T_Isc,dimensions,weight,cell_count,price,efficiency,life,Remarks
201,ELDORA PRIME,Vikram Solar,265,POLYCRYSTALLINE,38.1,9.03,30.9,8.57,45,-0.38,-0.29,0.057,1640x992x36,18,60,N/A,16.29,25,N/A
202,ELDORA PRIME,Vikram Solar,267.5,POLYCRYSTALLINE,38.2,9.09,31,8.62,45,-0.38,-0.29,0.057,1640x992x36,18,60,N/A,16.44,25,N/A
203,ELDORA PRIME,Vikram Solar,270,POLYCRYSTALLINE,38.3,9.12,31,8.7,45,-0.38,-0.29,0.057,1640x992x36,18,60,N/A,16.6,25,N/A
204,ELDORA PRIME,Vikram Solar,272.5,POLYCRYSTALLINE,38.4,9.17,31.1,8.76,45,-0.38,-0.29,0.057,1640x992x36,18,60,N/A,16.75,25,N/A
205,ELDORA PRIME,Vikram Solar,275,POLYCRYSTALLINE,38.5,9.22,31.2,8.82,45,-0.38,-0.29,0.057,1640x992x36,18,60,N/A,16.9,25,N/A
206,ELDORA PRIME,Vikram Solar,277.5,POLYCRYSTALLINE,38.6,9.27,31.2,8.89,45,-0.38,-0.29,0.057,1640x992x36,18,60,N/A,17.06,25,N/A
207,ELDORA PRIME,Vikram Solar,280,POLYCRYSTALLINE,38.7,9.32,31.3,8.94,45,-0.38,-0.29,0.057,1640x992x36,18,60,N/A,17.21,25,N/A
208,ELDORA PRIME,Vikram Solar,282.5,POLYCRYSTALLINE,38.8,9.37,31.4,9,45,-0.38,-0.29,0.057,1640x992x36,18,60,N/A,17.36,25,N/A
209,ELDORA PRIME,Vikram Solar,285,POLYCRYSTALLINE,38.9,9.41,31.5,9.07,45,-0.38,-0.29,0.057,1640x992x36,18,60,N/A,17.52,25,N/A
210,ELDORA GRAND PLUS,Vikram Solar,335,POLYCRYSTALLINE CUT CELL,46.2,9.07,335,39.1,45,-0.38,-0.29,0.057,1986x991x36,21,144,N/A,17.02,25,N/A
211,ELDORA GRAND PLUS,Vikram Solar,340,POLYCRYSTALLINE CUT CELL,46.3,9.18,340,39.2,45,-0.38,-0.29,0.057,1986x991x36,21,144,N/A,17.28,25,N/A
212,ELDORA GRAND PLUS,Vikram Solar,345,POLYCRYSTALLINE CUT CELL,46.4,9.3,345,39.2,45,-0.38,-0.29,0.057,1986x991x36,21,144,N/A,17.53,25,N/A
